SampleID	grain_length
IRIS_313-10809_IRIS_313-10809 8.2
IRIS_313-10810_IRIS_313-10810 9.6
IRIS_313-10811_IRIS_313-10811 8.7
IRIS_313-10812_IRIS_313-10812 8.2
IRIS_313-10814_IRIS_313-10814 9.6
IRIS_313-10815_IRIS_313-10815 8.3
IRIS_313-10816_IRIS_313-10816 8.5
IRIS_313-10817_IRIS_313-10817 8.5
IRIS_313-10818_IRIS_313-10818 7.9
IRIS_313-10819_IRIS_313-10819 7.6
IRIS_313-10820_IRIS_313-10820 8.5
IRIS_313-10821_IRIS_313-10821 8.4
IRIS_313-10822_IRIS_313-10822 6.6
IRIS_313-10823_IRIS_313-10823 7.6
IRIS_313-10824_IRIS_313-10824 9.3
IRIS_313-10825_IRIS_313-10825 8.2
IRIS_313-10827_IRIS_313-10827 8.7
IRIS_313-10828_IRIS_313-10828 7.7
IRIS_313-10829_IRIS_313-10829 8.2
IRIS_313-10830_IRIS_313-10830 7.9
IRIS_313-10831_IRIS_313-10831 7.3
IRIS_313-10832_IRIS_313-10832 10
IRIS_313-10833_IRIS_313-10833 7.7
IRIS_313-10834_IRIS_313-10834 8.9
IRIS_313-10835_IRIS_313-10835 8.3
IRIS_313-10836_IRIS_313-10836 7.9
IRIS_313-10837_IRIS_313-10837 6.9
IRIS_313-10838_IRIS_313-10838 6.3
IRIS_313-10839_IRIS_313-10839 6.6
IRIS_313-10840_IRIS_313-10840 6.6
IRIS_313-10841_IRIS_313-10841 9.5
IRIS_313-10842_IRIS_313-10842 7.2
IRIS_313-10844_IRIS_313-10844 7.7
IRIS_313-10845_IRIS_313-10845 8.4
IRIS_313-10847_IRIS_313-10847 8.4
IRIS_313-10848_IRIS_313-10848 8.6
IRIS_313-10849_IRIS_313-10849 8.5
IRIS_313-10850_IRIS_313-10850 8.4
IRIS_313-10851_IRIS_313-10851 8.4
IRIS_313-10852_IRIS_313-10852 7.2
IRIS_313-10853_IRIS_313-10853 8.2
IRIS_313-10854_IRIS_313-10854 9
IRIS_313-10855_IRIS_313-10855 9
IRIS_313-10856_IRIS_313-10856 7.9
IRIS_313-10857_IRIS_313-10857 10.3
IRIS_313-10858_IRIS_313-10858 9.1
IRIS_313-10859_IRIS_313-10859 7.6
IRIS_313-10861_IRIS_313-10861 8.1
IRIS_313-10862_IRIS_313-10862 8.2
IRIS_313-10863_IRIS_313-10863 8.7
IRIS_313-10864_IRIS_313-10864 7.7
IRIS_313-10865_IRIS_313-10865 8.5
IRIS_313-10866_IRIS_313-10866 8.1
IRIS_313-10867_IRIS_313-10867 9.8
IRIS_313-10868_IRIS_313-10868 6
IRIS_313-10869_IRIS_313-10869 8.7
IRIS_313-10870_IRIS_313-10870 5.7
IRIS_313-10871_IRIS_313-10871 8.3
IRIS_313-10872_IRIS_313-10872 9.3
IRIS_313-10873_IRIS_313-10873 8.5
IRIS_313-10874_IRIS_313-10874 8.3
IRIS_313-10875_IRIS_313-10875 7.4
IRIS_313-10876_IRIS_313-10876 8
IRIS_313-10877_IRIS_313-10877 9.1
IRIS_313-10878_IRIS_313-10878 9.2
IRIS_313-10879_IRIS_313-10879 8.3
IRIS_313-10880_IRIS_313-10880 8.6
IRIS_313-10881_IRIS_313-10881 7.2
IRIS_313-10882_IRIS_313-10882 6.4
IRIS_313-10883_IRIS_313-10883 10.8
IRIS_313-10884_IRIS_313-10884 10
IRIS_313-10885_IRIS_313-10885 7.8
IRIS_313-10886_IRIS_313-10886 6.8
IRIS_313-10887_IRIS_313-10887 8.9
IRIS_313-10888_IRIS_313-10888 10.1
IRIS_313-10891_IRIS_313-10891 7.7
IRIS_313-10892_IRIS_313-10892 7.4
IRIS_313-10893_IRIS_313-10893 8.4
IRIS_313-10894_IRIS_313-10894 9.2
IRIS_313-10895_IRIS_313-10895 6.7
IRIS_313-10896_IRIS_313-10896 8
IRIS_313-10897_IRIS_313-10897 6.4
IRIS_313-10898_IRIS_313-10898 8.3
IRIS_313-10899_IRIS_313-10899 10
IRIS_313-10900_IRIS_313-10900 8.6
IRIS_313-10901_IRIS_313-10901 8.7
IRIS_313-10903_IRIS_313-10903 9.1
IRIS_313-10904_IRIS_313-10904 8.3
IRIS_313-10907_IRIS_313-10907 6.5
IRIS_313-10908_IRIS_313-10908 8.6
IRIS_313-10909_IRIS_313-10909 7.5
IRIS_313-10910_IRIS_313-10910 7.7
IRIS_313-10915_IRIS_313-10915 8.5
IRIS_313-10917_IRIS_313-10917 9.5
IRIS_313-10918_IRIS_313-10918 8.7
IRIS_313-10919_IRIS_313-10919 8.9
IRIS_313-10920_IRIS_313-10920 8.6
IRIS_313-10921_IRIS_313-10921 9
IRIS_313-10922_IRIS_313-10922 9.9
IRIS_313-10923_IRIS_313-10923 9.8
IRIS_313-10924_IRIS_313-10924 9.2
IRIS_313-10925_IRIS_313-10925 8.8
IRIS_313-10926_IRIS_313-10926 7.8
IRIS_313-10927_IRIS_313-10927 8.8
IRIS_313-10928_IRIS_313-10928 9.6
IRIS_313-10929_IRIS_313-10929 8.2
IRIS_313-10930_IRIS_313-10930 7.5
IRIS_313-10931_IRIS_313-10931 8.2
IRIS_313-10932_IRIS_313-10932 8.4
IRIS_313-10933_IRIS_313-10933 7.6
IRIS_313-10934_IRIS_313-10934 8.8
IRIS_313-10935_IRIS_313-10935 9.8
